,columns,missing values count
211,Sensor - 212,120
212,Sensor - 213,120
213,Sensor - 214,120
214,Sensor - 215,120
215,Sensor - 216,120
216,Sensor - 217,120
217,Sensor - 218,120
218,Sensor - 219,5
219,Sensor - 220,10
220,Sensor - 221,3055
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,255
225,Sensor - 226,255
226,Sensor - 227,25
227,Sensor - 228,10
228,Sensor - 229,10
229,Sensor - 230,25
230,Sensor - 231,25
231,Sensor - 232,25
232,Sensor - 233,25
233,Sensor - 234,25
234,Sensor - 235,25
235,Sensor - 236,25
236,Sensor - 237,25
237,Sensor - 238,25
238,Sensor - 239,10
239,Sensor - 240,10
240,Sensor - 241,25
241,Sensor - 242,25
242,Sensor - 243,25
243,Sensor - 244,25
244,Sensor - 245,1440
245,Sensor - 246,1440
246,Sensor - 247,1440
247,Sensor - 248,2785
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,120
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,15
257,Sensor - 258,15
258,Sensor - 259,15
259,Sensor - 260,15
260,Sensor - 261,15
261,Sensor - 262,15
262,Sensor - 263,15
263,Sensor - 264,15
264,Sensor - 265,15
265,Sensor - 266,15
266,Sensor - 267,15
267,Sensor - 268,15
268,Sensor - 269,15
269,Sensor - 270,15
270,Sensor - 271,0
271,Sensor - 272,5
272,Sensor - 273,15
273,Sensor - 274,65
274,Sensor - 275,65
275,Sensor - 276,65
276,Sensor - 277,65
277,Sensor - 278,65
278,Sensor - 279,40
279,Sensor - 280,10
280,Sensor - 281,10
281,Sensor - 282,10
282,Sensor - 283,10
283,Sensor - 284,10
284,Sensor - 285,15
285,Sensor - 286,15
286,Sensor - 287,15
287,Sensor - 288,15
288,Sensor - 289,15
289,Sensor - 290,15
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,3855
293,Sensor - 294,3855
294,Sensor - 295,5
295,Sensor - 296,5
296,Sensor - 297,5
297,Sensor - 298,5
298,Sensor - 299,5
299,Sensor - 300,5
300,Sensor - 301,5
301,Sensor - 302,5
302,Sensor - 303,5
303,Sensor - 304,5
304,Sensor - 305,5
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,70
314,Sensor - 315,70
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,5
327,Sensor - 328,5
328,Sensor - 329,5
329,Sensor - 330,5
330,Sensor - 331,5
331,Sensor - 332,5
332,Sensor - 333,25
333,Sensor - 334,25
334,Sensor - 335,25
335,Sensor - 336,25
336,Sensor - 337,25
337,Sensor - 338,25
338,Sensor - 339,25
339,Sensor - 340,25
340,Sensor - 341,25
341,Sensor - 342,25
342,Sensor - 343,25
343,Sensor - 344,25
344,Sensor - 345,25
345,Sensor - 346,2650
346,Sensor - 347,2650
347,Sensor - 348,25
348,Sensor - 349,120
349,Sensor - 350,120
350,Sensor - 351,120
351,Sensor - 352,120
352,Sensor - 353,120
353,Sensor - 354,120
354,Sensor - 355,120
355,Sensor - 356,120
356,Sensor - 357,5
357,Sensor - 358,10
358,Sensor - 359,3055
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,255
363,Sensor - 364,255
364,Sensor - 365,25
365,Sensor - 366,10
366,Sensor - 367,10
367,Sensor - 368,25
368,Sensor - 369,25
369,Sensor - 370,25
370,Sensor - 371,25
371,Sensor - 372,25
372,Sensor - 373,25
373,Sensor - 374,25
374,Sensor - 375,25
375,Sensor - 376,25
376,Sensor - 377,10
377,Sensor - 378,10
378,Sensor - 379,25
379,Sensor - 380,25
380,Sensor - 381,25
381,Sensor - 382,25
382,Sensor - 383,1440
383,Sensor - 384,1440
384,Sensor - 385,1440
385,Sensor - 386,2785
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,120
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,15
395,Sensor - 396,15
396,Sensor - 397,15
397,Sensor - 398,15
398,Sensor - 399,15
399,Sensor - 400,15
400,Sensor - 401,15
401,Sensor - 402,15
402,Sensor - 403,15
403,Sensor - 404,15
404,Sensor - 405,15
405,Sensor - 406,15
406,Sensor - 407,15
407,Sensor - 408,15
408,Sensor - 409,0
409,Sensor - 410,5
410,Sensor - 411,15
411,Sensor - 412,65
412,Sensor - 413,65
413,Sensor - 414,65
414,Sensor - 415,65
415,Sensor - 416,65
416,Sensor - 417,40
417,Sensor - 418,10
418,Sensor - 419,10
419,Sensor - 420,10
420,Sensor - 421,10
421,Sensor - 422,10
422,Sensor - 423,15
423,Sensor - 424,15
424,Sensor - 425,15
425,Sensor - 426,15
426,Sensor - 427,15
427,Sensor - 428,15
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,5
431,Sensor - 432,5
432,Sensor - 433,5
433,Sensor - 434,5
434,Sensor - 435,5
435,Sensor - 436,5
436,Sensor - 437,5
437,Sensor - 438,5
438,Sensor - 439,5
439,Sensor - 440,5
440,Sensor - 441,5
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,70
450,Sensor - 451,70
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,5
463,Sensor - 464,5
464,Sensor - 465,5
465,Sensor - 466,5
466,Sensor - 467,5
467,Sensor - 468,5
468,Sensor - 469,25
469,Sensor - 470,25
470,Sensor - 471,25
471,Sensor - 472,25
472,Sensor - 473,25
473,Sensor - 474,25
474,Sensor - 475,25
475,Sensor - 476,25
476,Sensor - 477,25
477,Sensor - 478,25
478,Sensor - 479,25
479,Sensor - 480,25
480,Sensor - 481,25
481,Sensor - 482,25
482,Sensor - 483,120
483,Sensor - 484,120
484,Sensor - 485,120
485,Sensor - 486,120
486,Sensor - 487,120
487,Sensor - 488,120
488,Sensor - 489,120
489,Sensor - 490,120
490,Sensor - 491,5
491,Sensor - 492,10
492,Sensor - 493,3055
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,255
497,Sensor - 498,255
498,Sensor - 499,25
499,Sensor - 500,10
500,Sensor - 501,10
501,Sensor - 502,25
502,Sensor - 503,25
503,Sensor - 504,25
504,Sensor - 505,25
505,Sensor - 506,25
506,Sensor - 507,25
507,Sensor - 508,25
508,Sensor - 509,25
509,Sensor - 510,25
510,Sensor - 511,10
511,Sensor - 512,10
512,Sensor - 513,25
513,Sensor - 514,25
514,Sensor - 515,25
515,Sensor - 516,25
516,Sensor - 517,1440
517,Sensor - 518,1440
518,Sensor - 519,1440
519,Sensor - 520,2785
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,120
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,15
529,Sensor - 530,15
530,Sensor - 531,15
531,Sensor - 532,15
532,Sensor - 533,15
533,Sensor - 534,15
534,Sensor - 535,15
535,Sensor - 536,15
536,Sensor - 537,15
537,Sensor - 538,15
538,Sensor - 539,15
539,Sensor - 540,15
540,Sensor - 541,15
541,Sensor - 542,15
542,Sensor - 543,10
543,Sensor - 544,10
544,Sensor - 545,10
545,Sensor - 546,10
546,Sensor - 547,365
547,Sensor - 548,365
548,Sensor - 549,365
549,Sensor - 550,365
550,Sensor - 551,365
551,Sensor - 552,365
552,Sensor - 553,365
553,Sensor - 554,365
554,Sensor - 555,365
555,Sensor - 556,365
556,Sensor - 557,365
557,Sensor - 558,365
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,75
563,Sensor - 564,75
564,Sensor - 565,75
565,Sensor - 566,75
566,Sensor - 567,75
567,Sensor - 568,75
568,Sensor - 569,75
569,Sensor - 570,75
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,2510
579,Sensor - 580,2510
580,Sensor - 581,2510
581,Sensor - 582,2510
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
